;test_id;query;tool_used;expected_arguments;expected_output
6;7;what is the average coverage level for apples in washington state over the last 10 years;get-SOB-metrics-using-SQL-agent;{'state': 'Missouri', 'county': 'Monroe', 'commodity': 'Soybeans', 'year': 2024};Here is the link to the SP document you're looking for : https://croptalk-spoi.s3.us-east-2.amazonaws.com/SPOI/SPOI/29_137_01_0081_20231130.pdf 
7;8;what are the top three coverage levels with the highest loss ratio for grapes in CA;get-SOB-metrics-using-SQL-agent;{'state': 'Missouri', 'county': 'Monroe', 'commodity': 'Soybeans', 'year': 2024};Here is the link to the SP document you're looking for : https://croptalk-spoi.s3.us-east-2.amazonaws.com/SPOI/SPOI/29_137_01_0081_20231130.pdf 
8;9;what is the total liability of every wfrp policy nationwide summarized for each year over the last 8 years;get-SOB-metrics-using-SQL-agent;{'state': 'Missouri', 'county': 'Monroe', 'commodity': 'Soybeans', 'year': 2024};Here is the link to the SP document you're looking for : https://croptalk-spoi.s3.us-east-2.amazonaws.com/SPOI/SPOI/29_137_01_0081_20231130.pdf 
9;10;what is average liability (or premium cost) per acre for apples in washington state in comparison to washington, yakima county;get-SOB-metrics-using-SQL-agent;{'state': 'Missouri', 'county': 'Monroe', 'commodity': 'Soybeans', 'year': 2024};Here is the link to the SP document you're looking for : https://croptalk-spoi.s3.us-east-2.amazonaws.com/SPOI/SPOI/29_137_01_0081_20231130.pdf 
10;11;do sales of 75% coverage level plan increase in the recent years?;get-SOB-metrics-using-SQL-agent;{'state': 'Missouri', 'county': 'Monroe', 'commodity': 'Soybeans', 'year': 2024};Here is the link to the SP document you're looking for : https://croptalk-spoi.s3.us-east-2.amazonaws.com/SPOI/SPOI/29_137_01_0081_20231130.pdf 
11;12;do growers tend to buy higher coverage levels in the recent years?;get-SOB-metrics-using-SQL-agent;{'state': 'Missouri', 'county': 'Monroe', 'commodity': 'Soybeans', 'year': 2024};Here is the link to the SP document you're looking for : https://croptalk-spoi.s3.us-east-2.amazonaws.com/SPOI/SPOI/29_137_01_0081_20231130.pdf 
12;13;which coverage level is the most popular for oranges;get-SOB-metrics-using-SQL-agent;{'state': 'Missouri', 'county': 'Monroe', 'commodity': 'Soybeans', 'year': 2024};Here is the link to the SP document you're looking for : https://croptalk-spoi.s3.us-east-2.amazonaws.com/SPOI/SPOI/29_137_01_0081_20231130.pdf 
13;14;how many crops are insured in washington state?;get-SOB-metrics-using-SQL-agent;{'state': 'Missouri', 'county': 'Monroe', 'commodity': 'Soybeans', 'year': 2024};Here is the link to the SP document you're looking for : https://croptalk-spoi.s3.us-east-2.amazonaws.com/SPOI/SPOI/29_137_01_0081_20231130.pdf 
14;15;what’s the crop with the highest number of policies sold;get-SOB-metrics-using-SQL-agent;{'state': 'Missouri', 'county': 'Monroe', 'commodity': 'Soybeans', 'year': 2024};Here is the link to the SP document you're looking for : https://croptalk-spoi.s3.us-east-2.amazonaws.com/SPOI/SPOI/29_137_01_0081_20231130.pdf 
15;16;in 2022 what were the average number of units for each record that had an indemnity?;get-SOB-metrics-using-SQL-agent;{'state': 'Missouri', 'county': 'Monroe', 'commodity': 'Soybeans', 'year': 2024};Here is the link to the SP document you're looking for : https://croptalk-spoi.s3.us-east-2.amazonaws.com/SPOI/SPOI/29_137_01_0081_20231130.pdf 
16;17;what’s the claim probability for cherries in WA by coverage level;get-SOB-metrics-using-SQL-agent;{'state': 'Missouri', 'county': 'Monroe', 'commodity': 'Soybeans', 'year': 2024};Here is the link to the SP document you're looking for : https://croptalk-spoi.s3.us-east-2.amazonaws.com/SPOI/SPOI/29_137_01_0081_20231130.pdf 
0;1;What are the commodities insured with WFRP for reinsurance year 2024, state code 04 and county code 001 ;wfrp-commodities-tool;"{""reinsurance_yr"" :""2024"", ""state_code"":""04"", ""county_code"": ""001""} ";Available commodities for the WFRP program (year 2024, state_code 04, and county_code 001) are : ['Squash Summer', 'Millet', 'Cotton Ex Long Staple', 'Forage Production', 'Watermelons', 'Sweet Corn (Fresh Market)', 'Dry Beans', 'Safflower', 'Squash Winter', 'Nursery (Fg & C)', 'Potatoes', 'Tomatoes (Fresh Market)', 'Tomatoes (Processing)', 'Pears', 'Plums', 'Sweet Cherries', 'Tart Cherries', 'Melons (Other)', 'Pumpkins', 'Triticale', 'Fresh Apricots', 'Processing Apricots', 'Garlic', 'Game Birds', 'Other Small Grains', 'Other Forage Seeds', 'Pecans (Irrigated)', 'Other CombinedDirectMarketing', 'Other Fruits', 'Other Crops', 'Hay (Other)', 'Cantaloupe', 'Flowers (Other)', 'Carrots', 'Bedding Plants', 'Honeydew', 'Other Vegetables', 'Flint (Ornamental) Corn', 'Seed Onion', 'Hops', 'Flowers Cut', 'Turf', 'Cattle:  Cow-Calf', 'Cattle:  Stocker/Feeder', 'Cattle:  Feedlot', 'Hogs:  Farrow', 'Hogs:  Farrow/Finish', 'Hogs:  Finish', 'Sheep:  Ewe/Lamb', 'Sheep:  Stocker/Feeder', 'Sheep:  Feedlot', 'Goats', 'Other Aquaculture', 'Fish', 'Poultry', 'Other Live Animals', 'Mink', 'Eggs', 'Furs', 'Bees (Animals)', 'Dairy', 'Other Animal Products', 'Alfalfa (Irrigated)', 'Apples (Fresh Market)', 'Apples (Processing)', 'Barley (Irrigated)', 'Corn (Silage)', 'Seed Garlic (Cloves)', 'Grass Hay (Irrigated)', 'Onions(Green/Scallions/Spring)', 'Orchard Grass', 'Flowers Potted', 'Seasonal Potted Plants', 'Sudan Sorghum Grass', 'Timothy Grass', 'Wheat Seed', 'Wheat (Irrigated)', 'Onions (Red)', 'Cabbage (Fresh Market)', 'Cabbage (Processing)', 'Broilers', 'Pistachios', 'Pomegranates', 'Canola (Irrigated)', 'Corn (Irrigated)', 'Cotton (Irrigated)', 'Grain Sorghum (Irrigated)', 'Other Oil Seed', 'Anise', 'Onions (White)', 'Hemp Seed', 'Hemp Flower', 'Hemp Fiber', 'Teff', 'Onions (Yellow)', 'Other Crops Perennial', 'Beans Pinto', 'Grapes Red', 'Grapes White', 'Grapes Table Black', 'Grapes Table Green', 'Grapes Table Red', 'Micro Farm']
1;2;What is the number of policies sold for Bee county in Texas, for corn, for the RP program;get-SOB-metrics-using-SQL-agent;{'state_abbreviation': 'TX', 'county_name': 'Bee', 'commodity_name': 'corn', 'insurance_plan_name': 'RP', 'metric': 'policies_sold_count'};In 2023, we observe the following data across coverage level :  coverage level : 0.75, policies_sold_count : 53  coverage level : 0.5, policies_sold_count : 6  coverage level : 0.6, policies_sold_count : 12  coverage level : 0.65, policies_sold_count : 36  coverage level : 0.7, policies_sold_count : 79 Total : 186
2;3;What is the number of policies sold for Bee county in Texas, for corn, for the RP program, for 0.7 coverage level;get-SOB-metrics-using-SQL-agent;{'state_abbreviation': 'TX', 'county_name': 'Bee', 'commodity_name': 'corn', 'insurance_plan_name': 'RP', 'metric': 'policies_sold_count'};In 2023, we observe the following data across coverage level :  coverage level : 0.75, policies_sold_count : 53  coverage level : 0.5, policies_sold_count : 6  coverage level : 0.6, policies_sold_count : 12  coverage level : 0.65, policies_sold_count : 36  coverage level : 0.7, policies_sold_count : 79 Total : 186
3;4;What is the number of policies sold for Bee county in Texas;get-SOB-metrics-using-SQL-agent;{'state_abbreviation': 'TX', 'county_name': 'Bee', 'commodity_name': 'None', 'insurance_plan_name': 'None', 'metric': 'policies_sold_count'};MISSING_DATA : The requested metric (policies_sold_count) for state : TX,  county : Bee, commodity : None and insurance plan : None, is not available within the summary of business data. Make sure that you are providing an existing combination of county, commodity and insurance plan name.
4;5;What is the percentage of policies indemnified for Washakie county in Wyoming for oranges under the APH program;get-SOB-metrics-using-SQL-agent;{'state_abbreviation': 'WY', 'county_name': 'Washakie', 'commodity_name': 'oranges', 'insurance_plan_name': 'APH', 'metric': 'pct_liability_indemnified'};MISSING_DATA : The requested metric (pct_liability_indemnified) for state : WY,  county : Washakie, commodity : oranges and insurance plan : APH, is not available within the summary of business data. Make sure that you are providing an existing combination of county, commodity and insurance plan name.
